img,dx,dy,leftEyeX,leftEyeY,rightEyeX,rightEyeY
screenshot-0.png,0,0,320,232,378,237
screenshot-1.png,0,0,318,230,383,231
screenshot-2.png,0,0,318,229,384,230
screenshot-3.png,0,0,319,230,382,231
screenshot-4.png,0,0,319,233,382,232
screenshot-5.png,0,0,318,232,381,233
screenshot-6.png,0,0,320,233,381,231
screenshot-7.png,0,0,320,231,382,233
screenshot-8.png,0,0,319,234,381,232
screenshot-9.png,0,0,320,231,381,232
screenshot-10.png,0,0,320,233,381,232
screenshot-11.png,0,0,381,231,320,233
screenshot-12.png,0,0,382,232,318,232
screenshot-13.png,0,0,320,233,380,231
screenshot-14.png,0,0,318,232,381,231
screenshot-15.png,0,0,319,232,382,231
screenshot-16.png,0,0,381,231,319,232
screenshot-17.png,0,0,319,231,381,231
screenshot-18.png,0,0,319,232,381,231
screenshot-19.png,0,0,381,231,319,231
screenshot-20.png,0,0,381,231,319,233
screenshot-21.png,0,0,381,232,320,233
screenshot-22.png,0,0,319,234,381,233
screenshot-23.png,0,0,319,235,381,233
screenshot-24.png,0,0,379,233,319,234
screenshot-25.png,0,-1,381,233,319,235
screenshot-26.png,0,-1,381,233,319,233
screenshot-27.png,0,-1,379,233,320,235
screenshot-28.png,0,-1,382,233,320,234
screenshot-29.png,0,-1,320,235,382,234
screenshot-30.png,0,-1,381,233,319,235
screenshot-31.png,0,-1,319,236,380,235
screenshot-32.png,0,-1,321,235,381,234
screenshot-33.png,0,-1,381,233,319,235
screenshot-34.png,0,-1,381,233,322,234
screenshot-35.png,0,-1,381,234,320,235
screenshot-36.png,0,-1,321,235,383,233
screenshot-37.png,0,-1,319,236,381,234
screenshot-38.png,0,-1,381,234,320,235
screenshot-39.png,0,-1,383,234,318,234
screenshot-40.png,0,-1,321,234,382,233
screenshot-41.png,0,-1,382,234,321,234
screenshot-42.png,0,-1,382,234,320,235
screenshot-43.png,0,-1,320,236,384,232
screenshot-44.png,0,-1,380,232,320,234
screenshot-45.png,0,-1,383,233,321,234
screenshot-46.png,0,-1,383,233,319,235
screenshot-47.png,0,-1,382,234,323,235
screenshot-48.png,0,-1,322,236,382,234
screenshot-49.png,0,-1,321,235,383,233
screenshot-50.png,0,-1,384,235,322,236
screenshot-51.png,0,-1,384,234,322,234
screenshot-52.png,0,-1,386,234,323,235
screenshot-53.png,0,-1,382,235,322,235
screenshot-54.png,0,-1,322,235,385,234
screenshot-55.png,0,-1,383,235,323,236
screenshot-56.png,0,-1,383,235,320,235
screenshot-57.png,0,-1,320,235,383,234
screenshot-58.png,0,-1,384,235,320,235
screenshot-59.png,0,-1,384,235,321,235
screenshot-60.png,0,-1,383,235,321,235
screenshot-61.png,0,-1,321,236,382,235
screenshot-62.png,0,-1,383,236,321,236
screenshot-63.png,0,-1,322,235,385,235
screenshot-64.png,0,-1,384,235,322,236
screenshot-65.png,0,-1,322,235,385,236
screenshot-66.png,0,-1,384,235,321,236
screenshot-67.png,0,-1,384,235,321,235
screenshot-68.png,0,-1,321,236,383,235
screenshot-69.png,0,-1,320,235,383,236
screenshot-70.png,0,-1,322,236,384,235
screenshot-71.png,0,-1,384,235,321,236
screenshot-72.png,0,-1,385,235,322,236
screenshot-73.png,0,-1,322,236,383,236
screenshot-74.png,0,-1,383,235,320,237
screenshot-75.png,0,-1,384,235,323,236
screenshot-76.png,0,-1,322,237,384,235
screenshot-77.png,0,-1,322,237,384,235
screenshot-78.png,0,-1,384,234,323,237
screenshot-79.png,0,-1,384,236,321,236
screenshot-80.png,0,-1,322,236,386,237
screenshot-81.png,0,-1,384,236,322,236
screenshot-82.png,0,-1,384,236,320,237
screenshot-83.png,0,-1,321,237,382,236
screenshot-84.png,0,-1,384,236,321,236
screenshot-85.png,0,-1,383,236,321,238
screenshot-86.png,0,-1,384,236,322,237
screenshot-87.png,0,-1,382,236,322,237
screenshot-88.png,0,-1,321,237,383,236
screenshot-89.png,0,-1,383,236,324,238
screenshot-90.png,0,-1,384,236,321,237
screenshot-91.png,0,-1,321,236,383,236
screenshot-92.png,0,-1,383,235,322,236
screenshot-93.png,0,-1,384,235,321,237
screenshot-94.png,0,-1,383,237,321,237
screenshot-95.png,0,-1,384,237,321,236
screenshot-96.png,0,-1,384,236,321,237
screenshot-97.png,0,-1,321,238,383,237
screenshot-98.png,0,-1,385,237,323,238
screenshot-99.png,0,-1,323,237,384,237
screenshot-100.png,0,-1,383,237,321,236
screenshot-101.png,0,-1,322,238,385,237
screenshot-102.png,0,-1,321,238,383,237
screenshot-103.png,0,-1,383,237,322,238
screenshot-104.png,0,-1,322,238,383,238
screenshot-105.png,0,-1,384,237,321,239
screenshot-106.png,0,-1,383,239,321,238
screenshot-107.png,0,-1,383,237,322,238
